user_id,recommended_learning_path
796.0,learning_path_id_20
859.0,learning_path_id_20
912.0,learning_path_id_20
929.0,learning_path_id_20
980.0,learning_path_id_20
986.0,learning_path_id_20
997.0,learning_path_id_20
13.0,learning_path_id_3
16.0,learning_path_id_3
53.0,learning_path_id_3
101.0,learning_path_id_3
117.0,learning_path_id_3
122.0,learning_path_id_3
123.0,learning_path_id_3
147.0,learning_path_id_3
151.0,learning_path_id_3
174.0,learning_path_id_3
204.0,learning_path_id_3
212.0,learning_path_id_3
220.0,learning_path_id_3
291.0,learning_path_id_3
340.0,learning_path_id_3
355.0,learning_path_id_3
358.0,learning_path_id_3
382.0,learning_path_id_3
387.0,learning_path_id_3
392.0,learning_path_id_3
397.0,learning_path_id_3
408.0,learning_path_id_3
432.0,learning_path_id_3
444.0,learning_path_id_3
453.0,learning_path_id_3
498.0,learning_path_id_3
513.0,learning_path_id_3
524.0,learning_path_id_3
525.0,learning_path_id_3
542.0,learning_path_id_3
545.0,learning_path_id_3
553.0,learning_path_id_3
574.0,learning_path_id_3
627.0,learning_path_id_3
672.0,learning_path_id_3
677.0,learning_path_id_3
687.0,learning_path_id_3
699.0,learning_path_id_3
708.0,learning_path_id_3
709.0,learning_path_id_3
714.0,learning_path_id_3
716.0,learning_path_id_3
729.0,learning_path_id_3
760.0,learning_path_id_3
824.0,learning_path_id_3
826.0,learning_path_id_3
829.0,learning_path_id_3
840.0,learning_path_id_3
841.0,learning_path_id_3
863.0,learning_path_id_3
889.0,learning_path_id_3
922.0,learning_path_id_3
942.0,learning_path_id_3
958.0,learning_path_id_3
959.0,learning_path_id_3
969.0,learning_path_id_3
14.0,learning_path_id_10
127.0,learning_path_id_10
136.0,learning_path_id_10
140.0,learning_path_id_10
145.0,learning_path_id_10
155.0,learning_path_id_10
177.0,learning_path_id_10
179.0,learning_path_id_10
209.0,learning_path_id_10
268.0,learning_path_id_10
276.0,learning_path_id_10
282.0,learning_path_id_10
283.0,learning_path_id_10
297.0,learning_path_id_10
305.0,learning_path_id_10
357.0,learning_path_id_10
372.0,learning_path_id_10
391.0,learning_path_id_10
406.0,learning_path_id_10
440.0,learning_path_id_10
468.0,learning_path_id_10
476.0,learning_path_id_10
483.0,learning_path_id_10
495.0,learning_path_id_10
510.0,learning_path_id_10
559.0,learning_path_id_10
561.0,learning_path_id_10
635.0,learning_path_id_10
636.0,learning_path_id_10
640.0,learning_path_id_10
641.0,learning_path_id_10
651.0,learning_path_id_10
663.0,learning_path_id_10
681.0,learning_path_id_10
682.0,learning_path_id_10
715.0,learning_path_id_10
734.0,learning_path_id_10
785.0,learning_path_id_10
793.0,learning_path_id_10
814.0,learning_path_id_10
843.0,learning_path_id_10
847.0,learning_path_id_10
891.0,learning_path_id_10
903.0,learning_path_id_10
946.0,learning_path_id_10
951.0,learning_path_id_10
962.0,learning_path_id_10
967.0,learning_path_id_10
19.0,learning_path_id_7
20.0,learning_path_id_7
24.0,learning_path_id_7
26.0,learning_path_id_7
84.0,learning_path_id_7
104.0,learning_path_id_7
157.0,learning_path_id_7
158.0,learning_path_id_7
171.0,learning_path_id_7
173.0,learning_path_id_7
187.0,learning_path_id_7
189.0,learning_path_id_7
235.0,learning_path_id_7
245.0,learning_path_id_7
288.0,learning_path_id_7
352.0,learning_path_id_7
364.0,learning_path_id_7
366.0,learning_path_id_7
369.0,learning_path_id_7
374.0,learning_path_id_7
378.0,learning_path_id_7
402.0,learning_path_id_7
436.0,learning_path_id_7
438.0,learning_path_id_7
445.0,learning_path_id_7
452.0,learning_path_id_7
469.0,learning_path_id_7
480.0,learning_path_id_7
497.0,learning_path_id_7
506.0,learning_path_id_7
555.0,learning_path_id_7
591.0,learning_path_id_7
624.0,learning_path_id_7
668.0,learning_path_id_7
704.0,learning_path_id_7
746.0,learning_path_id_7
782.0,learning_path_id_7
795.0,learning_path_id_7
807.0,learning_path_id_7
810.0,learning_path_id_7
818.0,learning_path_id_7
819.0,learning_path_id_7
825.0,learning_path_id_7
866.0,learning_path_id_7
881.0,learning_path_id_7
930.0,learning_path_id_7
941.0,learning_path_id_7
949.0,learning_path_id_7
993.0,learning_path_id_7
995.0,learning_path_id_7
996.0,learning_path_id_7
22.0,learning_path_id_18
41.0,learning_path_id_18
44.0,learning_path_id_18
45.0,learning_path_id_18
55.0,learning_path_id_18
63.0,learning_path_id_18
85.0,learning_path_id_18
126.0,learning_path_id_18
128.0,learning_path_id_18
135.0,learning_path_id_18
183.0,learning_path_id_18
210.0,learning_path_id_18
211.0,learning_path_id_18
244.0,learning_path_id_18
260.0,learning_path_id_18
287.0,learning_path_id_18
296.0,learning_path_id_18
317.0,learning_path_id_18
331.0,learning_path_id_18
345.0,learning_path_id_18
354.0,learning_path_id_18
359.0,learning_path_id_18
375.0,learning_path_id_18
381.0,learning_path_id_18
386.0,learning_path_id_18
403.0,learning_path_id_18
421.0,learning_path_id_18
424.0,learning_path_id_18
429.0,learning_path_id_18
435.0,learning_path_id_18
456.0,learning_path_id_18
463.0,learning_path_id_18
504.0,learning_path_id_18
533.0,learning_path_id_18
552.0,learning_path_id_18
571.0,learning_path_id_18
586.0,learning_path_id_18
588.0,learning_path_id_18
609.0,learning_path_id_18
675.0,learning_path_id_18
676.0,learning_path_id_18
766.0,learning_path_id_18
775.0,learning_path_id_18
792.0,learning_path_id_18
812.0,learning_path_id_18
835.0,learning_path_id_18
844.0,learning_path_id_18
849.0,learning_path_id_18
850.0,learning_path_id_18
875.0,learning_path_id_18
876.0,learning_path_id_18
882.0,learning_path_id_18
897.0,learning_path_id_18
914.0,learning_path_id_18
940.0,learning_path_id_18
990.0,learning_path_id_18
23.0,learning_path_id_11
28.0,learning_path_id_11
29.0,learning_path_id_11
30.0,learning_path_id_11
59.0,learning_path_id_11
71.0,learning_path_id_11
75.0,learning_path_id_11
80.0,learning_path_id_11
120.0,learning_path_id_11
131.0,learning_path_id_11
193.0,learning_path_id_11
197.0,learning_path_id_11
230.0,learning_path_id_11
280.0,learning_path_id_11
322.0,learning_path_id_11
396.0,learning_path_id_11
398.0,learning_path_id_11
400.0,learning_path_id_11
446.0,learning_path_id_11
460.0,learning_path_id_11
467.0,learning_path_id_11
473.0,learning_path_id_11
481.0,learning_path_id_11
494.0,learning_path_id_11
503.0,learning_path_id_11
535.0,learning_path_id_11
541.0,learning_path_id_11
550.0,learning_path_id_11
554.0,learning_path_id_11
556.0,learning_path_id_11
581.0,learning_path_id_11
592.0,learning_path_id_11
594.0,learning_path_id_11
600.0,learning_path_id_11
611.0,learning_path_id_11
612.0,learning_path_id_11
618.0,learning_path_id_11
649.0,learning_path_id_11
700.0,learning_path_id_11
779.0,learning_path_id_11
801.0,learning_path_id_11
816.0,learning_path_id_11
839.0,learning_path_id_11
845.0,learning_path_id_11
854.0,learning_path_id_11
883.0,learning_path_id_11
887.0,learning_path_id_11
907.0,learning_path_id_11
939.0,learning_path_id_11
956.0,learning_path_id_11
999.0,learning_path_id_11
25.0,learning_path_id_10
50.0,learning_path_id_10
72.0,learning_path_id_10
91.0,learning_path_id_10
109.0,learning_path_id_10
111.0,learning_path_id_10
165.0,learning_path_id_10
180.0,learning_path_id_10
181.0,learning_path_id_10
188.0,learning_path_id_10
223.0,learning_path_id_10
236.0,learning_path_id_10
243.0,learning_path_id_10
248.0,learning_path_id_10
281.0,learning_path_id_10
290.0,learning_path_id_10
306.0,learning_path_id_10
338.0,learning_path_id_10
371.0,learning_path_id_10
416.0,learning_path_id_10
451.0,learning_path_id_10
457.0,learning_path_id_10
461.0,learning_path_id_10
462.0,learning_path_id_10
488.0,learning_path_id_10
532.0,learning_path_id_10
579.0,learning_path_id_10
